MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Bsmt Cond,Total Bsmt SF,Heating QC,Central Air,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Finish,Garage Area,Garage Qual,Wood Deck SF,Open Porch SF,SalePrice
60,RL,105.0,13650,Reg,Lvl,Corner,Norm,1Fam,2Story,8,5,2002,2002,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1671.0,Ex,Y,563,2250,1.0,2,1,3,Gd,7,1,Attchd,Fin,756.0,TA,238,130,320.0
120,RL,61.0,7658,Reg,Lvl,Inside,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,Ex,TA,PConc,TA,1752.0,Ex,Y,0,1752,1.0,2,0,2,Ex,6,1,Attchd,RFn,576.0,TA,196,82,319.9
120,RL,41.0,7132,IR1,Lvl,Inside,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1370.0,Ex,Y,0,1370,0.0,2,0,2,Gd,6,1,Attchd,RFn,484.0,TA,120,49,205.0
160,RL,36.0,2628,Reg,Lvl,Inside,Norm,Twnhs,2Story,7,5,2003,2003,Gable,VinylSd,Wd Shng,Gd,TA,PConc,TA,764.0,Ex,Y,862,1626,0.0,2,1,2,Gd,6,0,BuiltIn,RFn,474.0,TA,0,27,175.5
20,RL,100.0,18494,IR1,Lvl,Corner,Norm,1Fam,1Story,6,5,2005,2005,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1324.0,Ex,Y,0,1324,0.0,2,0,3,Gd,6,0,Attchd,Fin,430.0,TA,36,23,199.5
120,RL,43.0,3203,Reg,Lvl,Inside,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1145.0,Ex,Y,0,1145,0.0,2,0,2,Gd,6,0,Attchd,Fin,437.0,TA,100,116,160.0
80,RL,67.0,13300,IR1,Lvl,Inside,Norm,1Fam,SLvl,7,5,2004,2004,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,384.0,Ex,Y,630,1374,1.0,2,1,3,Gd,7,1,BuiltIn,Fin,400.0,TA,100,0,184.5
60,RL,69.22459016393442,7851,Reg,Lvl,Inside,Norm,1Fam,2Story,6,5,2002,2002,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,860.0,Ex,Y,1100,1960,1.0,2,1,4,Gd,8,2,BuiltIn,Fin,440.0,TA,288,48,216.5
60,RL,63.0,8577,IR1,Lvl,Inside,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,847.0,Ex,Y,886,1733,0.0,2,1,3,Gd,7,1,BuiltIn,Fin,433.0,TA,144,48,185.088
80,RL,69.22459016393442,7750,IR1,Lvl,Inside,Norm,1Fam,SLvl,7,5,2000,2000,Gable,VinylSd,VinylSd,TA,TA,PConc,TA,384.0,Ex,Y,656,1430,0.0,2,1,3,TA,7,1,BuiltIn,Fin,400.0,TA,180,0,180.0
60,RL,69.22459016393442,9505,IR1,Lvl,CulDSac,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,884.0,Ex,Y,1151,2035,0.0,2,1,3,Gd,8,1,BuiltIn,Fin,434.0,TA,144,48,222.5
60,RL,108.0,14774,IR1,Lvl,Corner,Norm,1Fam,2Story,9,5,1999,1999,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1393.0,Ex,Y,1177,2599,0.0,2,1,4,Gd,10,1,BuiltIn,Fin,779.0,TA,668,30,333.168
60,RL,98.0,12256,IR1,Lvl,Corner,Norm,1Fam,2Story,8,5,1994,1995,Gable,HdBoard,HdBoard,Gd,TA,PConc,TA,1463.0,Ex,Y,1122,2622,1.0,2,1,3,Gd,9,2,Attchd,RFn,712.0,TA,186,32,325.0
60,RL,92.0,11764,IR1,Lvl,CulDSac,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1152.0,Ex,Y,1106,2270,0.0,2,1,4,Gd,9,1,Attchd,Fin,671.0,TA,132,57,290.0
60,RL,58.0,16770,IR2,Lvl,CulDSac,Norm,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1195.0,Gd,Y,644,1839,0.0,2,1,4,TA,7,0,Attchd,Fin,486.0,TA,0,81,221.0
50,RL,56.0,14720,IR1,Lvl,CulDSac,Norm,1Fam,1.5Fin,8,5,1995,1996,Hip,VinylSd,VinylSd,Gd,TA,PConc,TA,2033.0,Ex,Y,1185,3238,1.0,2,1,4,Gd,9,1,Attchd,Fin,666.0,TA,283,86,410.0
20,RL,73.0,8987,Reg,Lvl,Inside,Norm,1Fam,1Story,8,5,2005,2006,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1595.0,Ex,Y,0,1595,0.0,2,0,2,Gd,6,1,Attchd,RFn,880.0,TA,144,0,221.5
20,FV,92.0,9215,Reg,Lvl,Inside,Norm,1Fam,1Story,7,5,2009,2010,Hip,VinylSd,VinylSd,Gd,TA,PConc,TA,1218.0,Ex,Y,0,1218,0.0,2,0,2,Gd,4,0,Attchd,RFn,676.0,TA,0,136,204.5
60,FV,72.0,8640,Reg,Lvl,Inside,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,TA,TA,PConc,TA,756.0,Ex,Y,783,1547,0.0,2,1,3,Gd,7,0,Attchd,Unf,614.0,TA,169,45,215.2
20,FV,75.0,9000,Reg,Lvl,Inside,Norm,1Fam,1Story,8,5,2008,2008,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1566.0,Ex,Y,0,1566,1.0,2,0,3,Gd,7,0,Attchd,RFn,750.0,TA,144,168,262.5
60,FV,100.0,12552,Reg,Lvl,Corner,Norm,1Fam,2Story,7,5,2004,2005,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,991.0,Ex,Y,956,1947,0.0,2,1,3,Gd,8,1,Attchd,RFn,678.0,TA,0,136,254.9
60,RL,76.0,10142,IR1,Lvl,Inside,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,956.0,Ex,Y,1128,2084,1.0,2,1,4,Gd,8,0,BuiltIn,RFn,618.0,TA,0,45,233.0
60,RL,70.0,11920,Reg,Lvl,Inside,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,831.0,Ex,Y,828,1659,0.0,2,1,3,Gd,8,0,Attchd,RFn,484.0,TA,144,68,181.0
60,RL,69.22459016393442,8880,IR1,Lvl,Inside,Norm,1Fam,2Story,7,5,1994,2002,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,948.0,Ex,Y,888,2110,1.0,2,1,3,Gd,8,2,Attchd,RFn,463.0,TA,0,130,205.0
120,RL,50.0,8012,Reg,Lvl,Inside,Norm,TwnhsE,1Story,6,5,1980,1980,Gable,Plywood,Plywood,TA,TA,CBlock,TA,923.0,TA,Y,0,923,0.0,2,0,2,TA,5,1,Attchd,RFn,264.0,TA,80,0,143.0
60,RL,70.0,11218,Reg,Lvl,Inside,Norm,1Fam,2Story,6,5,1992,1992,Gable,Wd Sdng,Wd Sdng,Gd,TA,PConc,TA,1055.0,Ex,Y,790,1845,0.0,2,1,3,Gd,8,1,Attchd,RFn,462.0,TA,635,104,189.0
120,RL,55.0,7892,Reg,Lvl,Inside,Norm,TwnhsE,1Story,6,5,1979,1979,Gable,Plywood,Plywood,TA,TA,CBlock,TA,918.0,TA,Y,0,918,0.0,2,0,2,TA,5,1,Attchd,Unf,264.0,TA,28,0,99.5
60,RL,69.22459016393442,9453,IR1,Lvl,CulDSac,RRNe,1Fam,2Story,7,7,1993,2003,Gable,HdBoard,HdBoard,Gd,TA,PConc,TA,996.0,Ex,Y,730,1744,0.0,2,1,3,Gd,7,0,Attchd,RFn,457.0,TA,370,70,194.5
20,RL,81.0,9672,Reg,Lvl,Corner,Norm,1Fam,1Story,6,5,1984,1985,Hip,HdBoard,Plywood,TA,TA,PConc,TA,1040.0,TA,Y,0,1097,0.0,2,0,3,TA,6,0,Attchd,Unf,480.0,TA,0,0,152.0
85,RL,88.0,11782,IR1,Lvl,Inside,Norm,1Fam,SFoyer,5,7,1961,1995,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,1109.0,TA,Y,0,1155,1.0,1,0,3,Gd,6,0,Detchd,Unf,576.0,TA,192,0,148.0
20,RL,65.0,8450,Reg,Lvl,Inside,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,TA,Gd,CBlock,TA,894.0,Ex,Y,0,894,1.0,1,0,3,TA,5,1,Detchd,Unf,336.0,TA,416,144,138.5
20,RL,69.22459016393442,9819,IR1,Lvl,Inside,Norm,1Fam,1Story,5,5,1967,1967,Gable,MetalSd,MetalSd,TA,Gd,CBlock,TA,882.0,TA,Y,0,900,0.0,1,0,3,TA,5,0,Detchd,Unf,280.0,TA,0,0,122.0
20,RL,69.22459016393442,6897,IR1,Lvl,Corner,Norm,1Fam,1Story,5,8,1962,2010,Gable,HdBoard,HdBoard,TA,Gd,CBlock,TA,1040.0,Ex,Y,0,1040,1.0,1,1,3,TA,6,0,Detchd,Unf,260.0,TA,0,104,127.0
60,RL,107.0,10186,IR1,Lvl,Inside,Norm,1Fam,2Story,7,5,1992,1992,Gable,HdBoard,HdBoard,Gd,TA,PConc,TA,750.0,Ex,Y,862,1923,1.0,2,1,3,Gd,8,1,Attchd,RFn,564.0,TA,240,39,190.0
60,RL,85.0,13143,IR1,Lvl,Inside,Norm,1Fam,2Story,8,5,1993,1993,Gable,HdBoard,ImStucc,Gd,TA,PConc,TA,1231.0,Ex,Y,1098,2349,1.0,2,1,4,Gd,9,1,Attchd,RFn,762.0,TA,32,130,362.5
60,RL,88.0,11134,Reg,Lvl,Inside,Norm,1Fam,2Story,8,5,1992,1993,Gable,HdBoard,HdBoard,Gd,TA,PConc,TA,1390.0,Ex,Y,823,2225,1.0,2,1,4,Gd,7,1,Attchd,RFn,713.0,TA,198,30,285.0
120,FV,25.0,4835,IR1,Lvl,CulDSac,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,MetalSd,MetalSd,Gd,TA,PConc,TA,1488.0,Ex,Y,0,1488,1.0,2,0,2,Gd,6,1,Attchd,Fin,506.0,TA,168,50,260.0
160,FV,39.0,3515,Reg,Lvl,Inside,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,840.0,Ex,Y,840,1680,0.0,2,1,2,Gd,3,0,Attchd,RFn,588.0,TA,0,111,190.0
160,FV,30.0,3215,Reg,Lvl,Inside,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,MetalSd,MetalSd,Gd,TA,PConc,TA,600.0,Ex,Y,600,1200,0.0,2,1,2,Gd,4,0,Detchd,RFn,480.0,TA,0,172,155.0
160,FV,30.0,3182,Reg,Lvl,Inside,Norm,TwnhsE,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,Gd,TA,PConc,TA,600.0,Ex,Y,600,1200,0.0,2,1,2,Gd,4,0,Detchd,RFn,480.0,TA,0,172,151.0
160,FV,24.0,2544,Reg,Lvl,Inside,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,Gd,TA,PConc,TA,600.0,Ex,Y,600,1200,1.0,2,1,2,Gd,4,0,Detchd,RFn,480.0,TA,0,172,149.5
160,FV,24.0,2544,Reg,Lvl,Inside,Norm,Twnhs,2Story,6,5,2005,2005,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,600.0,Ex,Y,636,1236,1.0,2,1,2,Gd,4,0,Detchd,RFn,480.0,TA,0,166,152.0
20,FV,69.22459016393442,4403,IR2,Lvl,Inside,Norm,1Fam,1Story,7,5,2009,2009,Gable,MetalSd,MetalSd,Ex,TA,PConc,TA,1470.0,Ex,Y,0,1478,1.0,2,1,2,Gd,7,1,Attchd,Fin,484.0,TA,0,144,222.0
160,FV,69.22459016393442,2117,Reg,Lvl,Inside,Norm,Twnhs,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,Gd,TA,PConc,TA,756.0,Ex,Y,804,1573,0.0,2,1,3,Gd,5,0,Detchd,Unf,440.0,TA,0,32,177.5
160,FV,69.22459016393442,2980,Reg,Lvl,Corner,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,Gd,TA,PConc,TA,756.0,Ex,Y,756,1512,1.0,2,1,2,Gd,5,0,Detchd,Unf,440.0,TA,0,32,177.0
160,FV,24.0,2572,Reg,Lvl,FR2,Norm,Twnhs,2Story,7,5,1999,1999,Hip,MetalSd,MetalSd,Gd,TA,PConc,TA,696.0,Ex,Y,720,1416,1.0,2,1,3,Gd,6,0,Detchd,Unf,484.0,TA,0,44,155.0
160,FV,69.22459016393442,2403,IR1,Lvl,FR2,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,530.0,Ex,Y,550,1080,0.0,2,1,2,Gd,4,0,Attchd,RFn,496.0,TA,0,50,147.11
20,FV,57.0,12853,IR1,Lvl,Inside,Norm,1Fam,1Story,8,5,2010,2010,Gable,CemntBd,CmentBd,Gd,TA,PConc,Po,1642.0,Ex,Y,0,1418,1.0,1,1,1,Gd,6,1,Attchd,RFn,852.0,TA,160,192,267.916
60,FV,68.0,7379,IR1,Lvl,Inside,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,975.0,Ex,Y,873,1848,1.0,2,1,3,Gd,7,1,Attchd,RFn,592.0,TA,280,184,254.0
120,RL,30.0,4420,IR1,Lvl,CulDSac,Norm,TwnhsE,1Story,8,5,1980,1980,Gable,Wd Sdng,Wd Sdng,Gd,TA,CBlock,TA,728.0,TA,Y,0,788,1.0,1,0,1,Gd,3,1,Detchd,Fin,484.0,TA,133,42,155.0
120,RL,40.0,3880,IR1,Lvl,Inside,Norm,Twnhs,1Story,8,6,1978,1978,Gable,Wd Sdng,Plywood,Gd,TA,CBlock,TA,1226.0,TA,Y,0,1226,1.0,1,0,1,Gd,4,1,Attchd,Fin,484.0,TA,223,78,206.0
60,RL,69.22459016393442,13517,IR1,Lvl,CulDSac,RRAe,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,Gd,TA,CBlock,TA,725.0,Ex,Y,754,1479,0.0,2,1,3,Gd,6,0,Attchd,RFn,475.0,TA,0,44,130.5
20,FV,80.0,8000,Reg,Lvl,Inside,Norm,1Fam,1Story,7,5,2002,2002,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1492.0,Ex,Y,0,1492,1.0,2,0,3,Gd,6,1,Attchd,RFn,596.0,TA,277,137,230.0
20,RL,69.22459016393442,10456,IR1,Lvl,Inside,Norm,1Fam,1Story,6,6,1967,1967,Hip,HdBoard,HdBoard,TA,TA,CBlock,TA,1829.0,Gd,Y,0,1829,1.0,2,0,4,TA,8,0,Attchd,RFn,535.0,TA,0,76,218.5
60,RL,80.0,10791,Reg,Lvl,Inside,Norm,1Fam,2Story,6,5,1993,1993,Gable,MetalSd,MetalSd,TA,TA,PConc,TA,1280.0,Ex,Y,1215,2495,1.0,2,1,4,Gd,9,1,Attchd,Unf,660.0,TA,224,32,243.5
20,RL,69.22459016393442,10603,IR1,Lvl,Inside,Norm,1Fam,1Story,6,7,1977,2001,Gable,Plywood,Plywood,TA,TA,PConc,TA,1610.0,Gd,Y,0,1610,1.0,2,0,3,Gd,6,2,Attchd,RFn,480.0,TA,168,68,205.0
20,RL,78.0,9360,Reg,Lvl,Inside,Norm,1Fam,1Story,6,7,1972,2006,Hip,Plywood,Plywood,TA,TA,CBlock,TA,1161.0,TA,Y,0,1381,1.0,1,1,3,Gd,5,1,Attchd,RFn,676.0,TA,0,0,197.5
60,RL,80.0,9600,Reg,Lvl,Inside,Norm,1Fam,2Story,6,6,1971,1971,Gable,MetalSd,MetalSd,TA,TA,CBlock,TA,715.0,TA,Y,715,1645,0.0,1,2,4,TA,7,0,Attchd,RFn,441.0,TA,0,78,171.0
20,RL,80.0,9600,Reg,Lvl,Inside,Norm,1Fam,1Story,5,5,1966,1966,Hip,VinylSd,VinylSd,TA,TA,CBlock,TA,1232.0,TA,Y,0,1232,1.0,1,1,3,TA,6,0,Attchd,RFn,490.0,TA,0,224,142.25
20,RL,69.22459016393442,9790,Reg,Lvl,Inside,Feedr,1Fam,1Story,6,5,1963,1963,Hip,HdBoard,HdBoard,TA,TA,CBlock,TA,1328.0,TA,Y,0,1328,1.0,1,1,3,TA,6,2,Attchd,Unf,528.0,TA,0,26,143.0
20,RL,77.0,9320,IR1,Lvl,Inside,Norm,1Fam,1Story,4,5,1959,1959,Gable,Plywood,Plywood,TA,TA,CBlock,TA,950.0,Fa,Y,0,1225,1.0,1,1,3,TA,6,0,,,0.0,,352,0,128.95
80,RL,69.22459016393442,10600,IR1,Lvl,Inside,Norm,1Fam,SLvl,6,5,1964,1964,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,533.0,TA,Y,644,1775,0.0,2,0,3,TA,8,0,Attchd,Unf,480.0,TA,0,172,136.3
